 4		10000.00		02/01/2020
 9		55000.00		03/01/2020
 8		20000.00		03/01/2020
 5		40000.00		03/01/2020
 7		60000.00		04/01/2020
 1		60000.00		04/01/2020
 3		80000.00		04/01/2020
 2		84000.00		04/01/2020
 6		95000.00		04/01/2020
 10		69000.00		04/01/2020
 5		100000.00		05/01/2020
 10		200000.00		05/01/2020
 1		90000.00		05/01/2020
 3		50000.00		06/01/2020
 8		54000.00		07/01/2020
 4		70000.00		07/01/2020
 6		85000.00		08/01/2020
 7		85000.00		09/01/2020
 9		69000.00		10/01/2020
 2		62000.00		10/01/2020
 1		100000.00		11/01/2020
 5		65000.00		12/01/2020
 9		65000.00		12/01/2020
 4		96000.00		13/01/2020
 10		82500.00		14/01/2020
 1		99000.00		15/01/2020
 10		68000.00		15/01/2020
